Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,85.02793884277344,85.07295312549117,83.66245026741743,84.30768169881482,118944600
2010-01-05,85.25300598144531,85.29052169537331,84.66779747837184,84.97541030511749,111579900
2010-01-06,85.31306457519531,85.52313892337453,85.1029902270161,85.17051167146083,116074400
2010-01-07,85.67318725585938,85.77822441908398,84.9154142433709,85.15550000561231,131091100
2010-01-08,85.9582748413086,85.99579056163111,85.27553337938174,85.44809195503672,126402800
2010-01-11,86.07833862304688,86.37844155219625,85.7107028038749,86.34093154810081,106375700
2010-01-12,85.2755355834961,85.68817989723313,84.94541555323013,85.50811702804052,163333500
2010-01-13,85.99578094482422,86.23586664539218,85.05794528259085,85.49309667955522,161822000
2010-01-14,86.2283706665039,86.38592638605017,85.8457320766943,85.8982506498764,115718800
2010-01-15,85.26055908203125,86.16087949080784,84.93043892756765,86.0783551762895,212283100
2010-01-19,86.3259048461914,86.37842342017782,85.2230090683814,85.24552193502865,139172700
2010-01-20,85.44813537597656,85.86828418143247,84.7653935671107,85.74073982607595,216490200
2010-01-21,83.80502319335938,85.73321379242867,83.6999860186316,85.47062085560925,344859600
2010-01-22,81.93685913085938,83.83503837560188,81.84682480960274,83.42989251609248,345942400
2010-01-25,82.35700988769531,82.83718722218961,82.08691836543186,82.6871300163798,186937500
2010-01-26,82.01187896728516,82.88219350450328,81.80930891415835,82.03438611495518,211168800
2010-01-27,82.40203094482422,82.58959816136579,81.27662764557482,81.90685074558783,271863600
2010-01-28,81.45665740966797,82.71710882066088,80.96148313611442,82.67209453872734,316104000
2010-01-29,80.57133483886719,82.3794846957097,80.44379056593736,81.80927902530738,310677600
2010-02-01,81.8243179321289,81.8318222232828,80.65390037238946,81.14157626364656,187865000
2010-02-02,82.81466674804688,82.9722225066149,81.68926356619254,81.97436936901745,216327900
2010-02-03,82.40203094482422,82.88970685265173,82.1619451366149,82.43954095367422,172730700
2010-02-04,79.85860443115234,81.80179766942382,79.84359585125053,81.76428766786144,356715700
2010-02-05,80.0236587524414,80.18871305090528,78.46309855163669,79.94862730648113,493585800
2010-02-08,79.44593811035156,80.52632667865954,79.38591525120225,80.083665247552,224166900
2010-02-09,80.44380950927734,81.14155961691942,79.73105082240657,80.37628235093995,337820500
2010-02-10,80.28627014160156,80.72892600947212,79.61102704103067,80.31628158208215,240511500
2010-02-11,81.12655639648438,81.21659070551615,79.71605323289693,80.18122191008352,223591600
2010-02-12,81.05904388427734,81.10405818170226,79.91113350716726,80.27125933476027,304622100
2010-02-16,82.33447265625,82.41700265826807,80.89395835136254,81.67423836420033,159317500
2010-02-17,82.7246322631836,82.8371737181703,82.33448931577583,82.73213082917884,168845100
2010-02-18,83.21229553222656,83.38485410962447,82.55955977105044,82.58957120279254,193708600
2010-02-19,83.38487243652344,83.70748824353853,82.79966369916967,82.99473518631979,222684900
2010-02-22,83.39988708496094,83.71499862429124,83.15229699373127,83.69249147492437,132346900
2010-02-23,82.38700866699219,83.42988175968098,82.16943004507993,83.17479313515393,207497000
2010-02-24,83.14476013183594,83.27980869923091,82.42450301376098,82.634577291021,176350700
2010-02-25,83.03221130371094,83.0922341558906,81.7342500388679,81.95932714840023,259634700
2010-02-26,83.08478546142578,83.36989133799995,82.61211806345536,83.10729261502941,173589300
2010-03-01,83.94754028320312,84.03007027443591,83.40734605844095,83.42985319712366,147709700
2010-03-02,84.18016815185547,84.58531404408055,84.03011666174133,84.30771821495966,160992400
2010-03-03,84.25518798828125,84.75786670726824,84.04510791738986,84.39773516697961,150785000
2010-03-04,84.5102767944336,84.63032254946073,84.05261237056179,84.36772389136303,135770400
2010-03-05,85.71820068359375,85.78572212037359,84.85539051657645,85.05796627510803,176118800
2010-03-08,85.73323822021484,85.92080547482853,85.58318670616325,85.7257396513811,114631200
2010-03-09,85.87576293945312,86.27340447268001,85.4331071116259,85.47812140622624,154556700
2010-03-10,86.25836944580078,86.49095084662328,85.83822092196804,85.91324662635327,186088800
2010-03-11,86.6185302734375,86.64104314557555,85.7932357420387,86.05582867601605,160791100
2010-03-12,86.62602233886719,87.00866097386013,86.38593658681384,86.9936523945529,162074800
2010-03-15,86.64855194091797,86.70857482551173,85.98081309108005,86.47599330283258,146816800
2010-03-16,87.33878326416016,87.42130755607813,86.64853170076185,86.88861745895812,168673000
2010-03-17,87.85646057128906,88.14156633080017,87.34627764405919,87.60137196972198,177468100
2010-03-18,87.81146240234375,87.98402102352894,87.45883514501303,87.86398099019534,196509100
2010-03-19,87.3669662475586,88.36139901095075,87.02795155124232,87.3669662475586,226641100
2010-03-22,87.83402252197266,87.99223278884769,86.81699018553674,86.86972502527293,184477800
2010-03-23,88.4518051147461,88.5271397989199,87.6758411995187,87.96212104611435,182941600
2010-03-24,88.02238464355469,88.46686904767441,87.07315728472506,88.1203249051015,196072600
2010-03-25,87.87921142578125,89.02431305128682,87.77374176610306,88.61749904352862,223396300
2010-03-26,87.82650756835938,88.45932574959475,87.4799634575399,88.04498215407179,205808500
2010-03-29,88.38398742675781,88.54219196554014,87.90937381041086,88.27098254257983,134513500
2010-03-30,88.44428253173828,88.76822689277236,88.0751385032893,88.4894821991532,145772500
2010-03-31,88.1429443359375,88.53468822623388,87.84913498129791,88.10527411193992,161078700
2010-04-01,88.74560546875,89.08461438722428,88.21825123730764,88.74560546875,161215200
2010-04-05,89.46883392333984,89.52909821952058,88.83600995826637,89.08461957839052,105847600
2010-04-06,89.67977905273438,89.83798361718283,89.11476028784644,89.21269480459982,110384200
2010-04-07,89.1675033569336,89.92086177951826,88.7531539254446,89.49898290212481,184576300
2010-04-08,89.47636413574219,89.6270392466561,88.59493629065001,88.85861055016463,158704000
2010-04-09,90.06399536132812,90.1016598311974,89.49897658427506,89.66471059750265,133006500
2010-04-12,90.20711517333984,90.4406601390664,90.07151045854185,90.17698015364391,110279000
2010-04-13,90.27493286132812,90.43313742581138,89.64964404860758,90.11672829684487,125043600
2010-04-14,91.29951477050781,91.29951477050781,90.46328640943436,90.60642061024413,161609000
2010-04-15,91.37483215332031,91.58577156521136,91.1186873334041,91.14882235619824,144615300
2010-04-16,89.92085266113281,91.37483449918754,89.46130361014305,91.05089018041882,366786700
2010-04-19,90.25983428955078,90.3502393328819,89.25033717018508,89.65715124367563,217947800
2010-04-20,91.06596374511719,91.14130418525595,90.30507587919949,90.82488928061154,157708000
2010-04-21,90.90022277832031,91.32963681503948,90.39546830721645,91.11869164549778,192910100
2010-04-22,91.17147064208984,91.28447560071064,89.74009365846307,90.25990727184515,115360300
2010-04-23,91.76656341552734,91.80423362578982,90.87760048140392,91.11114543923043,177335500
2010-04-26,91.4200210571289,92.00011011924347,91.32962174705084,91.7967001762334,143457300
2010-04-27,89.25791931152344,91.41251937476565,89.08464432424385,90.89270590826554,355853300
2010-04-28,89.93592834472656,90.16193817540879,89.09970001793857,89.68732442817861,300674100
2010-04-29,91.05089569091797,91.23923528886417,90.45574187168782,90.47834170381442,193775000
2010-04-30,89.50648498535156,91.16387645696432,89.4838851592099,91.06593621346131,270000900
2010-05-03,90.66671752929688,90.91532727736279,89.80035388303938,89.93595867765073,182747900
2010-05-04,88.53467559814453,89.67224837811753,88.08266171299245,89.65718373926876,360353400
2010-05-05,88.00729370117188,88.74558717392567,87.36694046069128,87.81141898429169,328973200
2010-05-06,85.08429718017578,88.14293036026089,79.10262981049054,87.58544676903885,647356600
2010-05-07,83.81865692138672,85.70958236093009,82.42494503544249,84.85828944085286,637558800
2010-05-10,87.51012420654297,87.87926825412876,86.56842610212168,87.24644413916972,396159600
2010-05-11,87.2614974975586,88.4141348327942,86.5684092074084,86.68894355246289,317849800
2010-05-12,88.4819564819336,88.61003179944093,87.45738842789133,87.60806358152662,235607100
2010-05-13,87.38204193115234,88.65521950610287,87.30670723833715,88.24087007411642,234452500
2010-05-14,85.79999542236328,86.88483345505254,85.03157231432102,86.72662886656353,345601400
2010-05-17,85.8451919555664,86.27460603654286,84.20287032614142,86.0335315656029,325739800
2010-05-18,84.67747497558594,86.80194517441114,84.39873033244298,86.54580036088318,360556800
2010-05-19,84.1953353881836,84.95622322477847,83.14063249124143,84.20286483377241,394742700
2010-05-20,81.01615142822266,82.78654226525674,80.96341657767842,82.40232792691003,530418300
2010-05-21,82.19895935058594,82.402363648671,79.37386453030918,79.78821406968449,500909400
2010-05-24,81.14422607421875,82.40986831474117,81.06889138978713,81.75444449008327,269823000
2010-05-25,81.22709655761719,81.26476677394815,78.63554201061827,79.18549613164278,396505200
2010-05-26,80.73741912841797,82.4701457642221,80.49634466799611,81.7243225503652,349719300
2010-05-27,83.4419937133789,83.4721287447764,81.95034127138533,82.2592210324575,300870500
2010-05-28,82.39480590820312,83.41183854474161,82.00305634228118,83.35156849649698,297933500
2010-06-01,81.00861358642578,82.83173921437559,80.88807925241021,81.62636713588263,277909400
2010-06-02,83.1180419921875,83.12557143862178,80.9935713209074,81.4229854220916,240243700
2010-06-03,83.40430450439453,83.66797878452343,82.55301161493031,83.3591048414205,226618300
2010-06-04,80.47374725341797,82.36467852184725,80.20253775883573,81.82225953268278,398475600
2010-06-07,79.47175598144531,81.06887745616501,79.41149169285868,80.75999783111531,264609100
2010-06-08,80.32305908203125,80.48126362559482,78.83894240255309,79.53203061654605,357774300
2010-06-09,79.89366912841797,81.57365532065636,79.55465436370896,80.79016181148747,268023300
2010-06-10,82.22908020019531,82.32701473457621,79.88613484026673,81.25724705994499,317890600
2010-06-11,82.62832641601562,82.68106125934953,81.45308948019307,81.50582432352698,214128200
2010-06-14,82.50029754638672,83.7132052882625,82.41742764494155,83.2611855539545,207196100
2010-06-15,84.37613677978516,84.45147146666204,82.93721954546345,83.08035947389726,238268700
2010-06-16,84.34601593017578,84.6925601461821,83.77346186788878,83.93920165547206,216374000
2010-06-17,84.48159790039062,84.62473781426918,83.66044012589651,84.58706760082715,263185800
2010-06-18,84.57320404052734,84.87597647770583,84.30070422705546,84.64889714982196,174006600
2010-06-21,84.33098602294922,85.68590832644232,83.86167948639462,85.62535730157583,213140700
2010-06-22,82.93820190429688,84.70187957920447,82.81709408918188,84.33097931570917,239355400
2010-06-23,82.68085479736328,83.28640550066989,82.11314776456764,82.99119830561732,254639900
2010-06-24,81.310791015625,82.37808309396526,81.09884796390169,82.27211156810361,268523600
2010-06-25,81.65141296386719,82.06772799321898,80.81877135513436,81.55300671464533,238726500
2010-06-28,81.39401245117188,81.99199761889095,81.09880538767932,81.77248363770202,169218600
2010-06-29,78.88098907470703,81.37890200973357,78.38140995271003,80.25105335739595,373649500
