Date,Close,High,Low,Open,Volume,target,return_1d,return_5d,ma_5_rel,ma_10_rel,ma_20_rel,mom_2d,mom_10d,mom_20d,vol_5,vol_20,vol_ratio,volume_change_1d,range_pos_10,range_pos_20,ma_spread_5_20,ma_spread_10_20,intraday_return,high_low_range,close_to_high,close_to_low
2010-02-02,82.81466674804688,82.9722225066149,81.68926356619254,81.97436936901745,216327900,0,0.012103355590931342,0.009788676846215871,0.012233451496883818,0.00426707972188356,-0.015277500361343788,0.027842804313296776,-0.04067421134363525,-0.0260299393922645,0.012653362550554877,0.010584887221150809,1.1954177957863192,0.15150719931865964,0.4370686648680138,0.3989939398700082,-0.027178465419755216,-0.019461536156935355,0.01025073307056168,0.01570535569074849,-0.001898897652831466,0.013776635174858942
2010-02-03,82.40203094482422,82.88970685265173,82.1619451366149,82.43954095367422,172730700,0,-0.004982641595093873,0.0,0.0071898549975097925,0.0029680543325210085,-0.01852041052178277,0.007060407312829753,-0.03564857697302948,-0.033441343255879885,0.012873293092747476,0.01057398020502472,1.2174500843712692,-0.20153295067349153,0.3702181306043527,0.3295516020112915,-0.02552673201752631,-0.021424874662238635,-0.00045500021489786047,0.008857649545988,-0.005883431445769527,0.0029221047263439104
2010-02-04,79.85860443115234,81.80179766942382,79.84359585125053,81.76428766786144,356715700,1,-0.03086606585431051,-0.019618445309860677,-0.020069977113742365,-0.023298094881933573,-0.04571495580533036,-0.035694912905801734,-0.04709047992387816,-0.06393464085720868,0.018783783232687902,0.01240294797992151,1.5144611799626988,1.0651551808682531,0.003760189407777121,0.002294072398510628,-0.02617021429352062,-0.02295158922689622,-0.023307036495569533,0.02452547129542415,-0.023754896513696222,0.00018797474915555057
2010-02-05,80.0236587524414,80.18871305090528,78.46309855163669,79.94862730648113,493585800,0,0.0020668320272407836,-0.006797406143525642,-0.016723017337102464,-0.018983918184512838,-0.040503825869032895,-0.028863028800532264,-0.023349691441826526,-0.06594278425227595,0.018456947589508884,0.012344095708091977,1.4952045112069023,0.3836951948007896,0.3460894436228152,0.1969701012593368,-0.024185259038127405,-0.02193634547223222,0.0009384957376772363,0.021992688679417283,-0.0020583233248685495,0.019889097290463287
2010-02-08,79.44593811035156,80.52632667865954,79.38591525120225,80.083665247552,224166900,1,-0.007219373009137997,-0.02906690678130852,-0.018082562537259927,-0.022578108917672535,-0.043697192331522916,-0.005167462213249041,-0.035346982379683034,-0.07576160344050353,0.015917014907792192,0.012269673488156354,1.297264749804185,-0.5458400545558644,0.21796685310231664,0.12405161127518435,-0.026086337625748635,-0.021606926964224837,-0.007963261112351905,0.01436541260308788,-0.013416588249694716,0.0007560895274607571
2010-02-09,80.44380950927734,81.14155961691942,79.73105082240657,80.37628235093995,337820500,0,0.012560382854812868,-0.028628470437278453,0.00011190627357304805,-0.008388305492395776,-0.028390757145371648,0.005250331756708304,-0.019120028436774628,-0.06545815362961627,0.016046171898409196,0.012765302950820056,1.2570145777369408,0.5070043793262966,0.4392673560135532,0.2500005047487294,-0.02849947414899401,-0.020171657679882826,0.0008401378660753966,0.017690834122513044,-0.008599170522926247,0.008939537100274508
2010-02-10,80.28627014160156,80.72892600947212,79.61102704103067,80.31628158208215,240511500,1,-0.0019583777625251653,-0.025676075928751763,0.003432174332051785,-0.007742400347777734,-0.027362935802317856,0.010577407117815962,-0.025676075928751763,-0.05850758259981115,0.016136161986939103,0.012688357187089085,1.2717298030794955,-0.2880494226963728,0.40432944584546987,0.230116270108227,-0.030689777467887924,-0.019773630820683064,-0.0003736657112284325,0.014042011640740482,-0.00548323741874901,0.008481778538328433
2010-02-11,81.12655639648438,81.21659070551615,79.71605323289693,80.18122191008352,223591600,0,0.010466126442301826,0.015877462101471673,0.01073079385077147,0.003051909918686091,-0.014275860611968172,0.008487252050492389,-0.004052474330286215,-0.05662166788698608,0.008319678484956435,0.012791325685776062,0.6504156558383863,-0.07034965064040599,0.5906818866461073,0.33617515115988345,-0.02474116215205746,-0.01727504863836893,0.011789973560903944,0.018823529411764683,-0.0011085704072242297,0.017694091796874867
2010-02-12,81.05904388427734,81.10405818170226,79.91113350716726,80.27125933476027,304622100,1,-0.0008321875746467589,0.012938487791953834,0.0072909573076831435,0.0016132044441556914,-0.011993350655997825,0.009625229087275144,0.006053133492023077,-0.05994925732992684,0.008515631546859562,0.01273507758298041,0.668675278291209,0.36240404380128766,0.5757094634257397,0.3279644709161646,-0.019144724593998852,-0.013584640298052508,0.00981403002825365,0.014928141075961632,-0.0005550190512546571,0.014364836622009935
2010-02-16,82.33447265625,82.41700265826807,80.89395835136254,81.67423836420033,159317500,1,0.015734564717954314,0.036358492512055474,0.015847521962293554,0.016732227446246695,0.005345299586218655,0.014889283034056788,0.00623475681819019,-0.03431934363655753,0.008072047877398191,0.013236612293478486,0.6098273257860086,-0.4769995348334871,0.8585645777910357,0.4890985738311002,-0.010338384599086092,-0.011199534698166036,0.00808375205294909,0.018827664487503393,-0.0010013710685436994,0.01780743994045375
